_RAJ2000|_DEJ2000|KIC|2MASS|Teff|FeH|AFe|Numax|Dnu|ES|Fdnu|M(cor)|s_M(cor)|R(cor)|s_R(cor)|logg(seis)|s_logg(seis)|Rho|s_Rho|LogAge|Av|Notes|AP-1|KCat|Sloan|Simbad|_RA|_DE
291.9444583|+37.4610556| 2016706|19274667+3727398|4795.9|-0.032|-0.009| 38.487| 4.323|RC      | 0.9998| 1.419| 0.075|11.152| 0.022| 2.495| 0.010| 1.44e-03| 0.008| 3.412| 0.311|                |  0|KCat|Sloan|Simbad|291.94446|+37.46106
291.9885417|+37.4219167| 2016978|19275725+3725189|4733.7| 0.072| 0.029| 75.363| 7.225|RGB     | 1.0324| 1.178| 0.038| 7.285| 0.014| 2.784| 0.007| 4.30e-03| 0.007| 3.804| 0.419|                |  0|KCat|Sloan|Simbad|291.98854|+37.42192
292.1157500|+37.4308333| 2017541|19282778+3725510|4208.9| 0.141| 0.020|  9.483| 1.439|RGB     | 1.0438| 1.197| 0.044|21.324| 0.017| 1.858| 0.007| 1.74e-04| 0.008| 3.803| 0.376|                |  0|KCat|Sloan|Simbad|292.11575|+37.43083
292.2874583|+37.4463056| 2018283|19290899+3726467|4798.5| 0.222|-0.006|137.630|11.164|RGB     | 1.0228| 1.333| 0.033| 5.715| 0.011| 3.049| 0.007| 1.01e-02| 0.007| 3.655| 0.444|                |  0|KCat|Sloan|Simbad|292.28746|+37.44631
292.3133333|+37.4908611| 2018392|19291520+3729271|4664.0|-0.082| 0.015| 33.451| 3.782|RGB     | 1.0359| 1.323| 0.042|11.632| 0.016| 2.428| 0.007| 1.18e-03| 0.007| 3.594| 0.407|                |  1|KCat|Sloan|Simbad|292.31333|+37.49086
292.3442500|+37.4689167| 2018537|19292262+3728081|4835.7| 0.256|-0.001|181.667|13.747|RGB     | 1.0192| 1.368| 0.030| 5.030| 0.010| 3.171| 0.007| 1.52e-02| 0.006| 3.622| 0.451|                |  0|KCat|Sloan|Simbad|292.34425|+37.46892
285.9347083|+37.5763333| 2140446|19034433+3734348|4549.9| 0.302| 0.014| 57.261| 5.676|RGB     | 1.0352| 1.264| 0.040| 8.745| 0.015| 2.656| 0.007| 2.67e-03| 0.007| 3.762| 0.265|                |  1|KCat|Sloan|Simbad|285.93471|+37.57633
286.2185000|+37.5207222| 2141255|19045244+3731146|4902.0|-0.194| 0.031|147.331|12.336|RGB     | 1.0208| 1.141| 0.032| 5.085| 0.011| 3.083| 0.007| 1.22e-02| 0.007| 3.772| 0.197|                |  0|KCat|Sloan|Simbad|286.21850|+37.52072
286.3301250|+37.5275556| 2141652|19051923+3731392|4939.0| 0.153|-0.003|       |      |REJECT  |       |      |      |      |      |      |      |         |      |      |      |No Seis         |  0|KCat|Sloan|Simbad|286.33012|+37.52756
286.4225833|+37.5239444| 2141928|19054142+3731262|4684.2| 0.167| 0.005| 34.301| 4.067|RC      | 1.0006| 1.233| 0.077|11.080| 0.023| 2.440| 0.010| 1.28e-03| 0.008| 3.617| 0.208|                |  1|KCat|Sloan|Simbad|286.42258|+37.52394
286.4233333|+37.5452778| 2141932|19054160+3732430|4399.6| 0.291| 0.025| 24.469| 3.001|RGB     | 1.0432| 1.163| 0.043|12.943| 0.016| 2.280| 0.007| 7.57e-04| 0.008| 3.887| 0.288|                |  0|KCat|Sloan|Simbad|286.42333|+37.54528
286.4777083|+37.5848056| 2142095|19055465+3735053|4877.3|-0.320| 0.041| 29.186| 3.713|RC(S)   | 1.0026| 1.153| 0.080|11.497| 0.024| 2.379| 0.010| 1.07e-03| 0.008| 3.576| 0.276|                |  1|KCat|Sloan|Simbad|286.47771|+37.58481
290.4477083|+37.5158889| 2155869|19214745+3730572|4740.7| 0.195|-0.005| 93.505| 8.134|RGB     | 1.0272| 1.432| 0.037| 7.209| 0.013| 2.878| 0.007| 5.39e-03| 0.007| 3.542| 0.281|                |  0|KCat|Sloan|Simbad|290.44771|+37.51589
290.5192500|+37.5254444| 2156178|19220462+3731316|4870.7|-0.494| 0.184| 28.743| 3.868|RC      | 0.9908| 0.978| 0.080|10.673| 0.024| 2.372| 0.010| 1.13e-03| 0.008| 3.729| 0.078|                |  0|KCat|Sloan|Simbad|290.51925|+37.52544
290.7360417|+37.5476944| 2157059|19225665+3732517|4401.9|-0.153| 0.149| 23.573| 3.003|RGB     | 1.0433| 1.038| 0.043|12.452| 0.016| 2.264| 0.007| 7.58e-04| 0.008| 3.928| 0.244|                |  0|KCat|Sloan|Simbad|290.73604|+37.54769
290.8643333|+37.5749444| 2157650|19232744+3734298|4832.1| 0.156|-0.006|138.603|11.338|RGB     | 1.0227| 1.293| 0.033| 5.601| 0.011| 3.053| 0.007| 1.04e-02| 0.007| 3.684| 0.351|                |  0|KCat|Sloan|Simbad|290.86433|+37.57494
290.9239167|+37.5883056| 2157901|19234174+3735179|4753.3|-0.117| 0.083| 29.559| 3.831|RC      | 0.9904| 1.067| 0.079|11.063| 0.024| 2.379| 0.010| 1.11e-03| 0.008| 3.700| 0.296|                |  0|KCat|Sloan|Simbad|290.92392|+37.58831
291.0523750|+37.5318056| 2158410|19241257+3731545|4943.3| 0.136|-0.009| 47.468| 4.290|RC(S)   | 1.0003| 2.865| 0.071|14.164| 0.020| 2.593| 0.009| 1.42e-03| 0.008| 2.672| 0.390|                |  0|KCat|Sloan|Simbad|291.05237|+37.53181
291.3801667|+37.5540000| 2159864|19253124+3733144|4910.8|-0.097| 0.000| 77.292| 6.965|RGB     | 1.0256| 1.595| 0.038| 8.296| 0.014| 2.803| 0.007| 3.94e-03| 0.007| 3.284| 0.489|                |  0|KCat|Sloan|Simbad|291.38017|+37.55400
